year,women_specific,ministry,scheme,expenditure
2017-18,Women Specific 30%,Department of Social Justice and Empowerment,Assistance to Voluntary Organisations for OBCs,4.5
2017-18,Women Specific 30%,Department of Social Justice and Empowerment,Post Matric Scholarship for OBCs,12.75
2017-18,Women Specific 30%,Department of Social Justice and Empowerment,Scheme for Educational and Economical Development of Denotified and Nomadic Tribes,248.88
2017-18,Women Specific 30%,Department of Social Justice and Empowerment,Scheme for Educational and Economical Development of Denotified and Nomadic Tribes,1.62
2017-18,Women Specific 30%,Department of Social Justice and Empowerment,Post Matric Scholarship for SCs,1024.25
2017-18,Women Specific 30%,Department of Social Justice and Empowerment,Pradhan Mantri Adarsh Gram Yojana,5.95
2017-18,Women Specific 30%,Department of Social Justice and Empowerment,"Strengthening of Machinery for Enforcement of PCR Act, 1955 and PoA Act, 1989",11.7
2017-18,Women Specific 30%,Department of Social Justice and Empowerment,Pre Matric Scholarship for Children of Those Engaged in Unclean Occupations,106.76
2017-18,Women Specific 30%,Department of Social Justice and Empowerment,State Scheduled Castes Development Corporations,0.11
2017-18,Women Specific 30%,Department of Social Justice and Empowerment,State Scheduled Castes Development Corporations,6.0
2017-18,Women Specific 30%,Department of Social Justice and Empowerment,Special Central Assistance to SC Sub Component,38.46
2017-18,Women Specific 30%,Department of Social Justice and Empowerment,National Safai Karamcharis Finance and Development Corporation,219.41
2017-18,Women Specific 30%,Department of Social Justice and Empowerment,National Safai Karamcharis Finance and Development Corporation,1.5
2017-18,Women Specific 30%,Department of Social Justice and Empowerment,Self Employment Scheme for Liberation and Rehabilitation of Manual Scavengers,67.62
2017-18,Women Specific 30%,Department of Social Justice and Empowerment,Self Employment Scheme for Liberation and Rehabilitation of Manual Scavengers,1.5
2017-18,Women Specific 30%,Department of Social Justice and Empowerment,National Overseas Scholarship for SCs,1.38
2017-18,Women Specific 30%,Department of Social Justice and Empowerment,Assistance to Voluntary Organisations for Providing Social Defence Services,10.19
2017-18,Women Specific 30%,Department of Social Justice and Empowerment,Assistance to Voluntary Organizations under Scheme of Integrated Programme for Older Persons,0.9
2017-18,Women Specific 30%,Department of Social Justice and Empowerment,Assistance to Voluntary Organizations under Scheme of Integrated Programme for Older Persons,13.34
2017-18,Women Specific 30%,Department of Social Justice and Empowerment,Integrated Programme for Rehabilitation of Beggars,0.3
2017-18,Women Specific 30%,Department of Social Justice and Empowerment,Pre Matric Scholarship for OBCs,27.0
2017-18,Women Specific 30%,Department of Social Justice and Empowerment,Pre Matric Scholarship for OBCs,38.47
2017-18,Women Specific 30%,Department of Social Justice and Empowerment,Pre Matric Scholarship for SCs and Others,21.0
2017-18,Women Specific 30%,Department of Social Justice and Empowerment,Pre Matric Scholarship for SCs,18.9
2017-18,Women Specific 30%,Department of Social Justice and Empowerment,Venture Capital Fund for SCs,15.0
2017-18,Women Specific 30%,Department of Social Justice and Empowerment,Post Matric Scholarship for EBCs,6.8
2017-18,Women Specific 30%,Department of Social Justice and Empowerment,Post Matric Scholarship for EBCs,3.3
2017-18,Women Specific 30%,Department of Social Justice and Empowerment,National Overseas Scholarship for OBCs,5.96
2017-18,Women Specific 30%,Department of Social Justice and Empowerment,National Fellowship for OBCs and EBCs,6.0
2017-18,Women Specific 30%,Department of Social Justice and Empowerment,Research Studies and Publications,0.3
2017-18,Women Specific 30%,Department of Social Justice and Empowerment,Information and Mass Education Cell,9.0
2017-18,Women Specific 30%,Department of Social Justice and Empowerment,Dr. B. R. Ambedkar Foundatin,0.3
2017-18,Women Specific 30%,Department of Social Justice and Empowerment,Department of Social Justice and Empowerment Total,1929.15
2017-18,Women Specific 100% ,Lakshadweep,Welfare and pension scheme,2.69
2017-18,Women Specific 30%,Lakshadweep,Special nutrition programme,3.64
2017-18,Women Specific 30%,Lakshadweep,Special nutrition programme,0.51
2017-18,Women Specific 30%,Lakshadweep,Lakshadweep Total,4.15
2017-18,Women Specific 30%,Ministry of Earth Sciences,"Oceans Services, Technology, Observations, Resources modelling and Science (O-STORMS)",47.7
2017-18,Women Specific 30%,Ministry of Earth Sciences,"Research, Education and Training Outreach (REACHOUT)",34.79
2017-18,Women Specific 30%,Ministry of Earth Sciences,"Research, Education and Training Outreach (REACHOUT)",16.69
2017-18,Women Specific 30%,Ministry of Earth Sciences,Ministry of Earth Sciences Total,99.18
2017-18,Women Specific 100% ,Ministry of External Affairs,"Chhahari Single Women Reintegration Centre, Kathmandu District",3.06
2017-18,Women Specific 100% ,Ministry of External Affairs,Women Empowerment Programme in Darchula District,2.78
2017-18,Women Specific 100% ,Ministry of External Affairs,Women Empowerment Programme in Darchula District,0.01
2017-18,Women Specific 100% ,Ministry of External Affairs,International Women Day celebration,0.2
2017-18,Women Specific 100% ,Ministry of External Affairs,"Furniture and equipments for the Maternity/Birthing Center at Tribhuvan University Teaching Hospital, Kathmandu",0.91
2017-18,Women Specific 100% ,Ministry of External Affairs,"Mangala Devi Singh Memorial Girls Hostel Building for Padma Kanya Higher Secondary School, Kathmandu District",2.43
2017-18,Women Specific 100% ,Ministry of External Affairs,"Uterine Prolapsed cases in women in Nine Terai Districts by Healthy Nepal Community Based Hospital, Kathmandu",1.87
2017-18,Women Specific 100% ,Ministry of External Affairs,Establishment of five India Africa vocational Centres to train rural women as solar engineers,3.11
2017-18,Women Specific 100% ,Ministry of External Affairs,"Livelihood improvement, women empowerment awareness program in Bhaktapur, Chitwan, Sarlahi Mahottari Districts",0.2
2017-18,Women Specific 100% ,Ministry of External Affairs,"Livelihood improvement, women empowerment and awareness program in Bhaktapur, Chitwan, Sarlahi and Mahottari Districs",0.2
2017-18,Women Specific 100% ,Ministry of External Affairs,Ministry of External Affairs Total,16.44
2017-18,Women Specific 30%,Ministry of External Affairs,"Assistance for Upgradation of Infrastructure for Sidheshwor Education Public Campus, Remechhap District",2.22
2017-18,Women Specific 30%,Ministry of External Affairs,"Assistance for construction of School building for Shree Depak Secondary School, Tanahun District",2.32
2017-18,Women Specific 30%,Ministry of External Affairs,"Assistance for construction of School building for Shree Depak Secondary School, Tanahun District",1.66
2017-18,Women Specific 30%,Ministry of External Affairs,"Koteshwar Multiple Campus, Kathmandu",3.05
2017-18,Women Specific 30%,Ministry of External Affairs,"Shree Moti Mahila Sangh Primay School, Tinkar, Khalanga, Darchula District",1.02
2017-18,Women Specific 30%,Ministry of External Affairs,"Construction of College Building for Adarsha Multiple Campus, Gajuri, Dhading",2.71
2017-18,Women Specific 30%,Ministry of External Affairs,"Shree Shivbhari Secondary Secondary School, Sisawa-5, Shivbhari, Kapilvastu",2.57
2017-18,Women Specific 30%,Ministry of External Affairs,"Shree Shivbhari Secondary Secondary School, Sisawa-5, Shivbhari, Kapilvastu",2.06
2017-18,Women Specific 30%,Ministry of External Affairs,"Shree Saraswati Secondary School, Kailali",2.7
2017-18,Women Specific 30%,Ministry of External Affairs,"Shree Saraswati Secondary School, Kailali",2.07
2017-18,Women Specific 30%,Ministry of External Affairs,Assistance for Construction of School Building and Hostel Building for Shree Jana Prakash Higher Secondary School,0.78
2017-18,Women Specific 30%,Ministry of External Affairs,"Shri Bhu Puu Sainik Community Academy, Bayerghari, Syangja District",2.78
2017-18,Women Specific 30%,Ministry of External Affairs,"Tribhuvan Adarsha Multiple Campus, Putalibazar-1, Syangja District",2.62
2017-18,Women Specific 30%,Ministry of External Affairs,"Tribhuvan Adarsha Multiple Campus, Putalibazar-1, Syangja District",2.76
2017-18,Women Specific 30%,Ministry of External Affairs,"Assistance for Construction of Shree Arba Bijaya Secondary School, Kaski",2.58
2017-18,Women Specific 30%,Ministry of External Affairs,"Gupteshwar Mahadev Multiple Campus, Pokhara, Kaski District",2.32
2017-18,Women Specific 30%,Ministry of External Affairs,"Gupteshwar Mahadev Multiple Campus, Pokhara, Kaski District",2.57
2017-18,Women Specific 30%,Ministry of External Affairs,"Construction of Shree Higher Secondary School, Pathara, Budhram in Rauthat District",1.05
2017-18,Women Specific 30%,Ministry of External Affairs,"Assistance for construction of Library building inside the permises of Shree Saraswati Madhyamik Vidhalaya, Simikot, in Humia District",2.73
2017-18,Women Specific 30%,Ministry of External Affairs,"Assistance for construction of Library building inside the permises of Shree Saraswati Madhyamik Vidhalaya, Simikot, in Humia District",1.34
2017-18,Women Specific 30%,Ministry of External Affairs,"Assistance for construction of Shree Narad Adarsha Campus Building, Basha VDC, Udayapur District",1.89
2017-18,Women Specific 30%,Ministry of External Affairs,"Saptamai Gurukul Sanskrit Vidyashram Secondary School, IIam",2.49
2017-18,Women Specific 30%,Ministry of External Affairs,GOI assistance to NNJS for eye care programmers in Nepal,2.76
2017-18,Women Specific 30%,Ministry of External Affairs,Training of foreign nationals under Indian Technnical and Economic Cooperation (ITEC) programme,179.93
2017-18,Women Specific 30%,Ministry of External Affairs,"Shree Bal Govinda Janata Higher Secondary School, Pipariya 7, Sarlahi",1.88
2017-18,Women Specific 30%,Ministry of External Affairs,"Construction of school building for Shree Latinath Higher Secondary School, Darchula",0.62
2017-18,Women Specific 30%,Ministry of External Affairs,"Construction of school building for Shree Latinath Higher Secondary School, Darchula",1.66
2017-18,Women Specific 30%,Ministry of External Affairs,"Construction of Science Block for Mahendra Morang Multiple Campus, Biratnagar, Morang District",2.76
2017-18,Women Specific 30%,Ministry of External Affairs,"Construction of school building for Shree Malikarjun Higher Secondary School, Dhap, Darchula District",2.77
2017-18,Women Specific 30%,Ministry of External Affairs,"Construction of campus building for Marchawar Adarsha Multiple Campus, Majhagawa, Rupandehi District",1.85
2017-18,Women Specific 30%,Ministry of External Affairs,"Construction of school building for Baidyanath Devnarayan Public Higher Secondary School, Dhanusha District",2.47
2017-18,Women Specific 30%,Ministry of External Affairs,Ministry of External Affairs Total,244.99
2017-18,Women Specific 30%,Ministry of Labour and Employment,Mahila Coir Yojna,102.16
2017-18,Women Specific 100% ,"Ministry of Micro, Small and Medium Enterprises",Mahila Coir Yojna,0.41
2017-18,Women Specific 30%,"Ministry of Micro, Small and Medium Enterprises",Khadi Grant,263.89
2017-18,Women Specific 30%,"Ministry of Micro, Small and Medium Enterprises",Prime Ministers Employment Generation Programme,1072.9
2017-18,Women Specific 30%,"Ministry of Micro, Small and Medium Enterprises",A Scheme for Promotion of Innovation Rural Industry and Entrepreneurship,47.63
2017-18,Women Specific 30%,"Ministry of Micro, Small and Medium Enterprises",Coir Udyami Yojana,7.0
2017-18,Women Specific 30%,"Ministry of Micro, Small and Medium Enterprises",Scheme of Fund for Regeneration of Traditional Industries,9.76
2017-18,Women Specific 30%,"Ministry of Micro, Small and Medium Enterprises",Market Promotion and Development Assistance,328.31
2017-18,Women Specific 30%,"Ministry of Micro, Small and Medium Enterprises",Interest Susidy Eligibility Certificate for khadi and Ployvastra,37.78
2017-18,Women Specific 30%,"Ministry of Micro, Small and Medium Enterprises","Ministry of Micro, Small and Medium Enterprises Total",1767.27
2017-18,Women Specific 100% ,Ministry of Minority Affairs,Scheme for Leadership Development of Minority Women,15.19
2017-18,Women Specific 30%,Ministry of Minority Affairs,Skill Development Initiatives,45.59
2017-18,Women Specific 30%,Ministry of Minority Affairs,Merit cum Means for professional and Technical Courses,199.8
2017-18,Women Specific 30%,Ministry of Minority Affairs,Pre Matric Schollarship for Minorities,388.79
2017-18,Women Specific 30%,Ministry of Minority Affairs,Pre Matric Schollarship for Minorities,1108.13
2017-18,Women Specific 30%,Ministry of Minority Affairs,Post Matric Scholoarship for Minorities,479.72
2017-18,Women Specific 30%,Ministry of Minority Affairs,Maulana Azad National Fellowship for Minority students,124.87
2017-18,Women Specific 30%,Ministry of Minority Affairs,Multi-sectoral Development Programme,1197.66
2017-18,Women Specific 30%,Ministry of Minority Affairs,Nai Manzil,93.73
2017-18,Women Specific 30%,Ministry of Minority Affairs,Interest Subsidy on Educational Loan for overseas studies,21.8
2017-18,Women Specific 30%,Ministry of Minority Affairs,Pradhan Mantri Jan Vikas Karyakaram,17.0
2017-18,Women Specific 30%,Ministry of Minority Affairs,Ministry of Minority Affairs Total,3677.09
2017-18,Women Specific 100% ,Ministry of Petroleum and Natural Gas,Indian Institute of Petroleum Energy,2251.18
2017-18,Women Specific 30%,Ministry of Petroleum and Natural Gas,"Establishment of Rajiv Gandhi Institute of Petroleum and Technology, Assam",1.0
2017-18,Women Specific 30%,Ministry of Petroleum and Natural Gas,Ministry of Petroleum and Natural Gas Total,1.0
2017-18,Women Specific 100% ,Ministry of Tribal Affairs,National Fellowship and Scholarship for Higher Education of ST Students,119.94
2017-18,Women Specific 30%,Ministry of Tribal Affairs,Scholarship to the ST students for Studies abroad,29.92
2017-18,Women Specific 30%,Ministry of Tribal Affairs,Vanbandhu Kalyan Yojana,0.3
2017-18,Women Specific 30%,Ministry of Tribal Affairs,Special Central Asistance to Tribal Sub Plan,405.0
2017-18,Women Specific 30%,Ministry of Tribal Affairs,Scheme under proviso to Article 275 (1) of the Constitution,453.21
2017-18,Women Specific 30%,Ministry of Tribal Affairs,"Tribal Festivals, Research information and mass Education",1.2
2017-18,Women Specific 30%,Ministry of Tribal Affairs,Post Matric Scholarship,88.22
2017-18,Women Specific 30%,Ministry of Tribal Affairs,Post Matric Scholarship,439.17
2017-18,Women Specific 30%,Ministry of Tribal Affairs,Ministry of Tribal Affairs Total,1417.02
2017-18,Women Specific 100% ,Ministry of Women and Child Development,One Stop Centre,2048.31
2017-18,Women Specific 100% ,Ministry of Women and Child Development,One Stop Centre,30.1
2017-18,Women Specific 100% ,Ministry of Women and Child Development,Beti Bachao Beti Padhao,114.69
2017-18,Women Specific 100% ,Ministry of Women and Child Development,Women Helpline,169.1
2017-18,Women Specific 100% ,Ministry of Women and Child Development,Central Social Welfare Board,7.64
2017-18,Women Specific 100% ,Ministry of Women and Child Development,Rashtriya Mahila Kosh,64.48
2017-18,Women Specific 100% ,Ministry of Women and Child Development,National Commission for Women,24.29
2017-18,Women Specific 100% ,Ministry of Women and Child Development,Scheme for Adolescent Girls,450.63
2017-18,Women Specific 100% ,Ministry of Women and Child Development,Swadhar Greh,57.96
2017-18,Women Specific 100% ,Ministry of Women and Child Development,Swadhar Greh,57.2
2017-18,Women Specific 100% ,Ministry of Women and Child Development,Ujjawala,3.08
2017-18,Women Specific 100% ,Ministry of Women and Child Development,Working Women Hostel,24.56
2017-18,Women Specific 100% ,Ministry of Women and Child Development,"Gender Budgeting and Research, Publication and Monitoring",26.96
2017-18,Women Specific 100% ,Ministry of Women and Child Development,Mahila Police Volunteer,3.37
2017-18,Women Specific 100% ,Ministry of Women and Child Development,Ministry of Women and Child Development Total,3082.37
2017-18,Women Specific 30%,Ministry of Women and Child Development,National Nutrition Mission,8941.69
2017-18,Women Specific 30%,Ministry of Women and Child Development,National Nutrition Mission,259.76
2017-18,Women Specific 30%,Ministry of Women and Child Development,National Creche Scheme,186.64
2017-18,Women Specific 30%,Ministry of Women and Child Development,National Institute of Public Cooperation and Child Development,24.4
2017-18,Women Specific 30%,Ministry of Women and Child Development,National Institute of Public Cooperation and Child Development,27.91
2017-18,Women Specific 30%,Ministry of Women and Child Development,National Child Rights (NCPCR),4.39
2017-18,Women Specific 30%,Ministry of Women and Child Development,National Child Rights (NCPCR),27.91
2017-18,Women Specific 30%,Ministry of Women and Child Development,Child Protection Services,440.09
2017-18,Women Specific 30%,Ministry of Women and Child Development,Ministry of Women and Child Development Total,9912.79
2017-18,Women Specific 30%,Ministry of Youth Affairs and Sports,Scouting and Guiding,0.4
2017-18,Women Specific 30%,Ministry of Youth Affairs and Sports,Rajiv Gandhi National Institute of Youth Development,0.23
2017-18,Women Specific 30%,Ministry of Youth Affairs and Sports,Scheme of Human Resource Development in Sports,5.06
2017-18,Women Specific 30%,Ministry of Youth Affairs and Sports,Scheme of Human Resource Development in Sports,1.61
2017-18,Women Specific 30%,Ministry of Youth Affairs and Sports,National Programme for Youth and Adolescent Development,5.23
2017-18,Women Specific 30%,Ministry of Youth Affairs and Sports,National Service Scheme,18.0
2017-18,Women Specific 30%,Ministry of Youth Affairs and Sports,National Service Scheme,37.72
2017-18,Women Specific 30%,Ministry of Youth Affairs and Sports,Nehru Yuva Kendra Sangathan,64.5
2017-18,Women Specific 30%,Ministry of Youth Affairs and Sports,Ministry of Youth Affairs and Sports Total,132.75
2017-18,Women Specific 100% ,Police,"Schemes like Day Care Centre, Gender Sensitization, Health and Nutritional Care Centre etc. of Sashastra Seema Bal",0.11
2017-18,Women Specific 100% ,Police,"Opening of Creche, Day Care Centre, Gender Sensitization, Health Care Centre, Nutritional Care Centre, Womens Rest rooms by ITBP",0.1
2017-18,Women Specific 100% ,Police,Women Training Programmes viz course on Self Development and Conflict Mangement for women police officers of the rank of Dy SP to ASI,0.07
2017-18,Women Specific 100% ,Police,Women Training Programmes viz course on Self Development and Conflict Mangement for women police officers of the rank of Dy SP to ASI,0.01
2017-18,Women Specific 100% ,Police,Washing Drying/ Women laudry,0.04
2017-18,Women Specific 100% ,Police,Washing Drying/ Women laudry,0.01
2017-18,Women Specific 100% ,Police,"Organising courses on crime against women vis a vis Human Rights, Juvenile Justice and Investigation of female feticide cases",0.04
2017-18,Women Specific 100% ,Police,"Creche Facilities, Yoga Centre and Health Mela",145.1
2017-18,Women Specific 100% ,Police,Nutritional Health Care for Women Trainee and Women employees of CDTs,0.07
2017-18,Women Specific 100% ,Police,Women Specific Programme of BSF,0.01
2017-18,Women Specific 100% ,Police,Women Specific Programme of Assam Rifles,0.33
2017-18,Women Specific 100% ,Police,"Organising the Workshop/ Seminar on Trafficking in persons role of Police, in the States to sensitise Police Officers",0.1
2017-18,Women Specific 100% ,Police,"Organising the Workshop/ Seminar on Trafficking in persons role of Police, in the States to sensitise Police Officers",0.02
2017-18,Women Specific 100% ,Police,"Schemes like Day Care Centre, Gender Sensitization, Health and Nutritional Care Centre etc. of CRPF",0.45
2017-18,Women Specific 100% ,Police,Provision for procurement of 8-10 seater Vans for Women Trainees in 4 CDTs,0.09
2017-18,Women Specific 100% ,Police,Police Total,146.55
2017-18,Women Specific 30%,Police,"Opening of Creche, Day Care Centre, Gender Sensitization, Health Care Centre, Nutritional Care Centre, Womens Rest rooms by ITBP",0.01
2017-18,Women Specific 30%,Police,Pandit Gobin Ballabh Pant Award Scheme for books in Hindi,0.09
2017-18,Women Specific 30%,Police,Research Studies by ICMR,0.03
2017-18,Women Specific 30%,Police,Police Total,0.13
2017-18,Women Specific 100% ,GenderBudget Total,GenderBudget Total Total,92883.74
2018-19,Women Specific 100% ,Andaman and Nicobar Islands,Women Empowerment,21.34
2018-19,Women Specific 100% ,Andaman and Nicobar Islands,National Programme for Adolescent Girls,0.0
2018-19,Women Specific 100% ,Andaman and Nicobar Islands,Andaman and Nicobar Islands Total,21.34
2018-19,Women Specific 30%,Andaman and Nicobar Islands,Welfare of Senior Citizens,40.62
2018-19,Women Specific 30%,Atomic Energy,Women and Child Welfare,21.0
2018-19,Women Specific 100% ,Chandigarh,Women Empowerment,17.23
2018-19,Women Specific 100% ,Chandigarh,"Women Polytechnic, Girls Hostel",5.96
2018-19,Women Specific 100% ,Chandigarh,"Incentives to girls students, women education, working women hostel, and laptop and bycycle to girls students",27.73
2018-19,Women Specific 100% ,Chandigarh,Government ITI for women,3.51
2018-19,Women Specific 100% ,Chandigarh,Assistance to SC Women,0.02
2018-19,Women Specific 100% ,Chandigarh,"Creches, Aganwadi Centre, Apni Beti Apna Dhan Scheme, National Family Benefits Schemes etc.",16.23
2018-19,Women Specific 100% ,Chandigarh,Upgradation of CHC,2.58
2018-19,Women Specific 100% ,Chandigarh,Chandigarh Total,73.26
2018-19,Women Specific 30%,Chandigarh,"Nutrition Programme, Old age pension, Disability pension , Social Welfare etc.",15.16
